"timestamp","author","date","description","image","title","lang","logo","twitter","url"
"1591044530000","James%20Sinclair","2016-08-06T16%3A15%3A00.000Z","Monads%20have%20a%20bad%20reputation%20in%20the%20JavaScript%20community.%20Douglas%20Crockford%20even%20said%20that%20monads%20are%20cursed%3A%20Once%20you%20reach%20enlightenment%20and%20finally%20understand%20monads%2C%20you%20immediately%20lose%20the%20ability%20to%20explain%20them%20to%20others.%20Even%20amongst%20experienced%20functional%20programmers%2C%20monads%20are%20treated%20wi%E2%80%A6","http%3A%2F%2Fjrsinclair.com%2Fassets%2Fmysterious-js-maybe-monad-1024.jpg","The%20Marvellously%20Mysterious%20JavaScript%20Maybe%20Monad","en","https%3A%2F%2Fjrsinclair.com%2Fassets%2Fandroid-icon-192x192.png","jrsinclair","https%3A%2F%2Fjrsinclair.com%2Farticles%2F2016%2Fmarvellously-mysterious-javascript-maybe-monad%2F"
"1591044565000","James%20Sinclair","2018-11-20T08%3A05%3A00.000Z","Currying%20is%20one%20of%20the%20most%20formidable%20weapons%20in%20our%20functional%20programming%20arsenal.%20Combined%20with%20composition%2C%20it%E2%80%99s%20extremely%20powerful.%20But%20is%20currying%20useful%20if%20you%E2%80%99re%20doing%20object%20destructuring%20with%20your%20function%20parameters%3F","http%3A%2F%2Fjrsinclair.com%2Fassets%2Fobject-destructuring-and-currying-in-functional-javascript.jpg","Object%20destructuring%20and%20currying%20in%20functional%20JavaScript","en","https%3A%2F%2Fjrsinclair.com%2Fassets%2Fandroid-icon-192x192.png","jrsinclair","https%3A%2F%2Fjrsinclair.com%2Farticles%2F2018%2Fcurrying-destructured-function-parameters-javascript%2F"
"1591044580000","James%20Sinclair","2019-07-01T23%3A19%3A03.000Z","%E2%80%9CHigher-order%20function%E2%80%9D%20is%20one%20of%20those%20phrases%20people%20throw%20around%20a%20lot.%20But%20it%E2%80%99s%20rare%20for%20anyone%20to%20stop%20to%20explain%20what%20that%20means.%20Perhaps%20you%20already%20know%20what%20a%20higher-order%20function%20is.%20But%20how%20do%20we%20use%20them%20in%20the%20real%20world%3F%20What%20are%20some%20practical%20examples%20of%20when%20and%20how%20they%E2%80%99re%20useful%3F%E2%80%A6","https%3A%2F%2Fjrsinclair.com%2Fassets%2Fwhat-is-a-higher-order-function.jpg","Functional%20JavaScript%3A%20What%20are%20higher-order%20functions%2C%20and%20why%20should%20anyone%20care%3F","en","https%3A%2F%2Fjrsinclair.com%2Fassets%2Fandroid-icon-192x192.png","jrsinclair","https%3A%2F%2Fjrsinclair.com%2Farticles%2F2019%2Fwhat-is-a-higher-order-function-and-why-should-anyone-care%2F"
"1591044592000","James%20Sinclair","2020-04-13T10%3A00%3A00.000Z","Did%20you%20know%20there%E2%80%99s%20an%20algebraic%20structure%20for%20functions%3F%20That%20may%20not%20surprise%20you%20at%20all.%20But%20it%20surprised%20me%20when%20I%20first%20found%20out%20about%20it.%20I%20knew%20we%20used%20functions%20to%20build%20algebraic%20structures.%20It%20never%20occurred%20to%20me%20that%20functions%20themselves%20might%20have%20an%20algebraic%20structure.%20The%20structure%E2%80%A6","https%3A%2F%2Fjrsinclair.com%2Fassets%2Falgebraic-structure-of-functions-illustrated-with-react-components.jpg","The%20Algebraic%20Structure%20of%20Functions%2C%20illustrated%20using%20React%20components","en","https%3A%2F%2Fjrsinclair.com%2Fassets%2Fandroid-icon-192x192.png","jrsinclair","https%3A%2F%2Fjrsinclair.com%2Farticles%2F2020%2Falgebraic-structure-of-functions-illustrated-with-react-components%2F"
"1591044606000","Dan%20Abramov",,"So%20which%20one%20should%20I%20use%3F","https%3A%2F%2Foverreacted.io%2Fstatic%2Fprofile-pic-c715447ce38098828758e525a1128b87.jpg","On%20let%20vs%20const","en","https%3A%2F%2Foverreacted.io%2Ficons%2Ficon-512x512.png%3Fv%3D8c19a894ebc3f54d282a8f2418cf5398","dan_abramov","https%3A%2F%2Foverreacted.io%2Fon-let-vs-const%2F"
"1591044628000","James%20Sinclair","2017-02-09T23%3A02%3A00.000Z","We%E2%80%99ve%20been%20talking%20about%20writing%20less%20complex%20JavaScript.%20We%20do%20this%20by%20choosing%20the%20right%20abstraction%20to%20solve%20a%20problem.%20But%20how%20do%20you%20know%20which%20abstraction%20to%20use%3F%20So%20far%2C%20we%20haven%E2%80%99t%20looked%20at%20any%20concrete%20examples%20of%20how%20to%20do%20this.%20In%20this%20article%20we%20look%20at%20how%20to%20deal%20with%20JavaScript%20arrays%E2%80%A6","http%3A%2F%2Fjrsinclair.com%2Fassets%2Fjavascript-without-loops-twitter.png","JavaScript%20Without%20Loops","en","https%3A%2F%2Fjrsinclair.com%2Fassets%2Fandroid-icon-192x192.png","jrsinclair","https%3A%2F%2Fjrsinclair.com%2Farticles%2F2017%2Fjavascript-without-loops%2F"
"1591044640000","Josh%20Comeau",,"Dark%20Mode%20has%20become%20common%20enough%20that%20it%E2%80%99s%20a%20user%20expectation.%20And%20yet%2C%20creating%20the%20perfect%20dark%20mode%20with%20a%20statically-built%20site%2Fapp%20is%20deceptively%20tricky.%20In%20this%20in-depth%20tutorial%2C%20we%E2%80%99ll%20see%20how%20to%20build%20the%20perfect%2C%20flicker-free%2C%20customizable%20theming%20solution%20for%20React%20and%20Gatsby%20apps.","https%3A%2F%2Fwww.joshwcomeau.com%2Fimages%2Fog-dark-mode.png","The%20Quest%20for%20the%20Perfect%20Dark%20Mode","en","https%3A%2F%2Fjoshwcomeau.com%2F_next%2Fstatic%2Fmedia%2Ffavicon-dd02c73c991090257b7c2ddbb1255af4.png%3Fv%3D4","joshwcomeau","https%3A%2F%2Fjoshwcomeau.com%2Fgatsby%2Fdark-mode%2F"
"1591044668000","Mark%20Erikson","2016-10-09T18%3A09%3A29.000Z","First%20in%20an%20occasional%20series%20of%20thoughts%20on%20good%20usage%20patterns%20for%20Redux","https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Flogo.png","Idiomatic%20Redux%3A%20Why%20use%20action%20creators%3F",,"https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Fapple-touch-icon.png%3F2016-09-13",,"https%3A%2F%2Fblog.isquaredsoftware.com%2F2016%2F10%2Fidiomatic-redux-why-use-action-creators%2F"
"1591044746000","Mark%20Erikson","2017-01-03T03%3A00%3A00.000Z","Opinions%20on%20the%20benefits%20and%20use%20cases%20of%20thunks%20and%20sagas%20with%20Redux","https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Flogo.png","Idiomatic%20Redux%3A%20Thoughts%20on%20Thunks%2C%20Sagas%2C%20Abstraction%2C%20and%20Reusability",,"https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Fapple-touch-icon.png%3F2016-09-13",,"https%3A%2F%2Fblog.isquaredsoftware.com%2F2017%2F01%2Fidiomatic-redux-thoughts-on-thunks-sagas-abstraction-and-reusability%2F"
"1591044761000","Mark%20Erikson","2017-05-09T17%3A00%3A00.000Z","Thoughts%20on%20what%20Redux%20requires%2C%20how%20Redux%20is%20intended%20to%20be%20used%2C%20and%20what%20is%20possible%20with%20Redux","https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Flogo.png","Idiomatic%20Redux%3A%20The%20Tao%20of%20Redux%2C%20Part%201%20-%20Implementation%20and%20Intent",,"https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Fapple-touch-icon.png%3F2016-09-13",,"https%3A%2F%2Fblog.isquaredsoftware.com%2F2017%2F05%2Fidiomatic-redux-tao-of-redux-part-1%2F"
"1591044776000","Mark%20Erikson","2017-05-10T17%3A00%3A00.000Z","More%20thoughts%20on%20what%20Redux%20requires%2C%20how%20Redux%20is%20intended%20to%20be%20used%2C%20and%20what%20is%20possible%20with%20Redux","https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Flogo.png","Idiomatic%20Redux%3A%20The%20Tao%20of%20Redux%2C%20Part%202%20-%20Practice%20and%20Philosophy",,"https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Fapple-touch-icon.png%3F2016-09-13",,"https%3A%2F%2Fblog.isquaredsoftware.com%2F2017%2F05%2Fidiomatic-redux-tao-of-redux-part-2%2F"
"1591044793000","Mark%20Erikson","2017-12-23T01%3A00%3A00.000Z","An%20overview%20of%20why%20and%20how%20to%20use%20Reselect%20with%20React%20and%20Redux","https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Flogo.png","Idiomatic%20Redux%3A%20Using%20Reselect%20Selectors%20for%20Encapsulation%20and%20Performance",,"https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Fapple-touch-icon.png%3F2016-09-13",,"https%3A%2F%2Fblog.isquaredsoftware.com%2F2017%2F12%2Fidiomatic-redux-using-reselect-selectors%2F"
"1591044808000","Mark%20Erikson","2018-11-23T04%3A50%3A00.000Z","Some%20history%20and%20explanations%20of%20how%20React-Redux%20got%20its%20API%2C%20and%20how%20it%20works%20internally","https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Flogo.png","Idiomatic%20Redux%3A%20The%20History%20and%20Implementation%20of%20React-Redux",,"https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Fapple-touch-icon.png%3F2016-09-13",,"https%3A%2F%2Fblog.isquaredsoftware.com%2F2018%2F11%2Freact-redux-history-implementation%2F"
"1591044861000","Mark%20Erikson","2019-10-23T15%3A00%3A00.000Z","A%20look%20at%20the%20motivations%2C%20design%2C%20and%20goals%20for%20Redux%20Toolkit","https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Flogo.png","Idiomatic%20Redux%3A%20Redux%20Toolkit%201.0",,"https%3A%2F%2Fblog.isquaredsoftware.com%2Fimages%2Fapple-touch-icon.png%3F2016-09-13",,"https%3A%2F%2Fblog.isquaredsoftware.com%2F2019%2F10%2Fredux-starter-kit-1.0%2F"
"1591044880000","Kent%20C.%20Dodds",,"Some%20mistakes%20I%20frequently%20see%20people%20making%20with%20React%20Testing%20Library.","https%3A%2F%2Fkentcdodds.com%2Fstatic%2F6f2ef3bf4c0f8a0189a08f8dd67f2847%2F3e561%2Fbanner.jpg","Common%20mistakes%20with%20React%20Testing%20Library","en","https%3A%2F%2Fkentcdodds.com%2Fblog%2Fimages%2Flogo.png","kentcdodds","https%3A%2F%2Fkentcdodds.com%2Fblog%2Fcommon-mistakes-with-react-testing-library"
"1591044898000","Dave%20Ceddia","2020-07-05T16%3A51%3A47.000Z",,"https%3A%2F%2Fdaveceddia.com%2Fimages%2Fcreate-react-app-with-tailwind.png","Using%20Tailwind%20CSS%20with%20Create%20React%20App","en","https%3A%2F%2Fdaveceddia.com%2Fimages%2Fapple-touch-icon-144x144-precomposed.png","dceddia","https%3A%2F%2Fdaveceddia.com%2Ftailwind-create-react-app%2F"
"1591044913000","Dan%20Abramov",,"Dead%20code%20elimination%20by%20convention.","https%3A%2F%2Foverreacted.io%2Fstatic%2Fca1c0db064f73cc5c8e21ad605eaba26%2Ffcda8%2Fdevmode.png","How%20Does%20the%20Development%20Mode%20Work%3F","en","https%3A%2F%2Foverreacted.io%2Ficons%2Ficon-512x512.png%3Fv%3D8c19a894ebc3f54d282a8f2418cf5398","dan_abramov","https%3A%2F%2Foverreacted.io%2Fhow-does-the-development-mode-work%2F"
